source_row_number,review_priority,review_reason,suggested_action,stay_status_code,stay_status_name_ko,item_type,section_title,petition_type,subsection_type,subtype_or_program,applicant_context,eligibility,target_persons,common_documents,mandatory_documents,other_documents,requirements,procedure,restrictions,exceptions,fees,duration_or_validity,quota_or_limit,score_criteria,table_summary,table_rows,normalized_text
173,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-5,전문직업,stay_status_rule,E-5 전문직업 / 근무처 변경·추가,근무처 변경/추가,요건,,전문직업(E-5) 자격으로 외국인등록을 하고 체류하고 있는 자,변경·추가되는 근무처에서 활동하는데 필요한 자격요건 구비,,,- 근무처변경·추가 신고서[별지 제38호의3서식] - 여권 및 외국인등록증 - 사업자등록증 - 원 근무처장의 동의서 - 고용계약서,근무처 변경 시 소관부처 장관의 고용추천서 필요,'10.11.15부 사후 신고제로 개정(출입국관리법시행령 제26조의2제1항) 전문인력은 사후신고만으로 근무처 변경·추가 가능,신고의무자(외국인)는 신고사유 발생일로부터 15일 이내에 관할 청(사무소·출장소)장에게 신고 대리인의 신고 허용 여권에 스티커 부착 위해 방문신고 원칙(긴급 시 FAX 선접수 가능),본인 귀책사유로 해고 또는 중도 퇴직한 자로서 원고용주의 이적동의를 받지 못한 자는 제외,원 근무처장 동의서는 계약기간 만료일까지 근무한 경우 면제 원 근무처의 휴·폐업 및 임금체불 등의 사유 시 입증서류 또는 사유서로 대체 가능,수수료 없음,,,,,,
174,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-5,전문직업,stay_status_rule,E-5 전문직업 / 체류자격 변경,체류자격 변경,요건,,"유학(D-2), 구직(D-10) 자격 소지자 또는 사증면제(B-1) 자격 독일인 또는 전문외국인력 배우자(F-3)",구직(D-10) 자격 또는 유학(D-2) 자격을 소지하고 합법 체류 중인 자 취업활동 분야가 E-1·E-2·E-3·E-4·E-5·E-6·E-7 자격에 해당하고 자격요건 구비 해당 기관·단체 등의 대표자와 고용계약 체결,"전문외국인력《E-1 내지 E-5, E-6(E-6-2 제외), E-7》자격소지자의 배우자로서 동반(F-3)자격 소지자",,- 신청서(별지 34호 서식) - 여권 및 외국인등록증 - 표준규격사진 1장 - 수수료 - 고용계약서 사본 - 사업자등록증 사본 또는 허가증/등록증 - 학위증 사본 및 자격증 사본 - 소관부처 장관의 고용추천서,원 근무처장의 동의서(원 근무처가 있는 경우),유학(D-2) 자격 소지자는 구직(D-10)으로 변경할 요건 갖춘 졸업예정자 자국 또는 제3국 대학에서 학사 이상 학위 취득 + 경력요건 시 재학 중이라도 변경 허용,,"독일인 사증면제(B-1) 변경 시 기술연수(D-3), 비전문취업(E-9), 관광취업(H-1) 제외",,,독일인 변경 시: 체류자격별 1회 부여 체류기간의 상한,,,,,
176,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-5,전문직업,stay_status_rule,E-5 전문직업 / 재입국허가,재입국허가,요건,,등록을 필한 외국인,출국한 날부터 1년 이내 재입국 시 재입국허가 면제 체류기간이 1년보다 적게 남은 경우 체류기간 범위 내 재입국허가 면제,,,복수재입국허가: - 신청서(별지 34호서식) - 여권 원본 - 외국인등록증 - 수수료,,복수재입국허가: 출국 후 체류기간 범위 내에서 1년을 초과하여 2년 내에 재입국하려는 경우,,"입국규제 및 사증발급규제자는 체류지 관할 청(사무소·출장소)에 방문하여 재입국허가 필요 사우디아라비아, 이란, 리비아는 복수재입국 제한","사우디아라비아·이란·리비아 국민 중 결혼이민(F-6), 유학(D-2), 일반연수(D-4)는 복수재입국 가능",,재입국허가 면제: 출국일로부터 1년 이내 복수재입국허가: 1년 초과 2년 이내,,,,,
178,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-6,예술흥행,stay_status_rule,E-6 예술흥행 / 체류자격외 활동,체류자격외 활동허가,요건,,"합법체류 등록외국인(A-1, A-2, A-3 포함)으로서 방송, 영화, 모델활동을 하고자 하는 경우",비영리목적 지상파방송 임시(1회 및 비연속성) 출연은 일상생활의 부수적 활동으로 별도 허가 없이 활동 허용 (실비 사례금 가능) 고액투자외국인 및 전문인력 배우자,"고급과학기술인력(SCIENCE 카드), 첨단기술인력(GOLD 카드), 정보기술인력(IT카드) 자격 소지 전문 외국인력의 배우자 미화 50만불 이상 투자(법인포함)한 투자자격 소지자의 배우자 전문 외국인력자격(E-1, E-2, E-3, E-4, E-5, E-6-2 제외 E-6, E-7) 소지자의 배우자",,- 신청서(별지 34호 서식) - 여권 및 외국인등록증 - 수수료 - 고용계약서 - 공연추천서(문화체육관광부 또는 방송통신위원회) - 사업자등록증 등 단체 설립관련 서류 - 원 근무처장의 동의서(해당자),"A-1, A-2자격 소지자: 외교부장관(외교사절담당관)의 추천서",제출서류 및 체류실태 등을 종합 심사하여 허가여부 결정,,"세부자격 약호 E-6-2 활동에 종사하려는 경우는 자격외 활동허가 대상 제외 배우자 자격외활동: 단순노무(D-3, E-9) 등을 제외한 모든 직종 허용",정규교육기관(초·중·고 및 대학) 교육은 체류기간 범위 내 별도 허가 절차 불요 배우자 허가기간: 배우자의 체류기간까지(계속연장 가능),,,,,,,
179,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-6,예술흥행,stay_status_rule,E-6 예술흥행 / 근무처 변경·추가,근무처 변경/추가,요건,,"E-6-1(음악, 미술, 문학 등 예술, 방송연예활동): 사후 신고대상 E-6-3(운동선수, 프로팀 감독, 매니저): 사후 신고대상 E-6-2(호텔업 시설, 유흥업소 등 공연): 사전 허가대상",호텔업 시설·유흥업소 공연활동 종사자(E-6-2) 제외 E-6 자격으로 외국인등록 하고 체류 중 변경·추가 근무처에서 활동하는데 필요한 자격요건 구비,,,"사후 신고대상(E-6-1, E-6-3): - 신청서[별지 제34호 서식] - 여권 및 외국인등록증 - 사업자등록증 - 원 근무처장의 동의서 - 고용계약서 - 고용추천서 또는 공연추천서 사전 허가대상(E-6-2): - 신청서(별지 제34호 서식) - 여권 및 외국인등록증 - 수수료 - 사업자등록증 - 원 근무처장의 동의서 - 고용계약서 - 공연 추천서(영상물등급위원회 발행) - 신원보증서 원본",,E-6-2: 미리 관할 출입국·외국인청장 등에게 체류자격 변경·추가허가 신청 심사 후 최대 1년의 범위 내에서 고용계약기간 동안 체류기간 부여,사후 신고: 신고의무자는 사유 발생일로부터 15일 이내 관할 청장에게 신고 여권에 스티커 부착 위해 방문신고 원칙 파견근로자보호법 절차에 따른 공연장소 변경은 고용주 신고사항,본인 귀책사유로 해고 또는 중도 퇴직한 자로서 원고용주의 이적동의를 받지 못한 자는 제외 입국 후 6개월 이내 공연장소 변경 불가(원 공연장소 휴·폐업 등 부득이한 사정 제외),사유서와 신원보증서는 원칙적으로 제출 생략 원 근무처장 동의서는 계약기간 만료일까지 근무한 경우 면제,사후 신고대상은 수수료 없음,,,,,,
180,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-6,예술흥행,stay_status_rule,E-6 예술흥행 / 체류자격 변경,체류자격 변경,요건,,"유학(D-2), 구직(D-10), 무사증/단기사증, 일반 체류자격, 사증면제(B-1) 독일인, 전문외국인력 배우자(F-3)",E-6-1 및 E-6-3에 해당하는 경우 제한적으로 허용 국제적으로 명성이 있는 전문예술·체육인의 경우 본부승인을 얻어 변경 허용 구직(D-10) 또는 유학(D-2) 자격 소지 합법 체류 중 취업활동 분야가 E-1·E-2·E-3·E-4·E-5·E-6·E-7 자격에 해당 + 자격요건 구비 해당 기관·단체 등 대표자와 고용계약 체결,"전문외국인력《E-1 내지 E-5, E-6(E-6-2 제외), E-7》자격소지자의 배우자로서 동반(F-3)자격 소지자",,"- 신청서(별지 34호서식) - 여권 및 외국인등록증 - 표준규격사진 1장 - 수수료 - 고용계약서(또는 공연계약서) - 사업자등록증 - 고용·공연추천서(문화체육관광부, 영상물등급위원회, 방송통신위원회, 프로스포츠 연맹 등 발급)",,"유학(D-2) 자격 소지자는 구직(D-10)으로 변경 가능 요건 갖춘 졸업예정자 무사증/단기사증 입국자 자격변경은 불가피한 사유나 국익차원에서 허용 입단 테스트, 국제대회 참가자 등 입증자료 제출 시 청장 등 재량으로 허가",,"호텔·흥행(E-6-2) 분야 활동은 체류자격 변경 금지 일반 체류자격으로 장기 체류 중인 자는 현재 자격 그만두고 귀국 전 단기간 방송출연·모델활동만 허용 (E-6 또는 F-2, F-4, F-5 등 취업제한 없는 자격 소지자 제외) 독일인 사증면제(B-1) 변경 시 기술연수(D-3), 비전문취업(E-9), 관광취업(H-1) 제외",,,허가기간: 변경허가일로부터 최대 2년 범위 내에서 근로계약기간 + 1개월 독일인 변경: 체류자격별 1회 부여 체류기간의 상한,,,,,
181,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-6,예술흥행,stay_status_rule,E-6 예술흥행 / 체류기간 연장,체류기간 연장,요건,,"근로계약기간 연장, 근무처 변경 등으로 계속 체류해야 할 필요성 있는 E-6 자격 등록외국인",,,,"- 신청서(별지 34호서식) - 여권 및 외국인등록증 - 수수료 - 고용추천서 또는 공연추천서(영상물등급위원회, 문화체육관광부, 방송통신위원회 등 발행) - 고용계약서(또는 공연계약서) - 사업자등록증 사본 - 신원보증서(E-6-2 자격만) - 체류지 입증서류(임대차계약서, 숙소제공 확인서, 체류기간 만료예고 통지우편물, 공공요금 납부영수증, 기숙사비 영수증 등) - 건강보험특실 확인서(E-6-2 자격만)","기타 심사에 필요한 자료(필요 시 1-2종): 재직증명서, 외국인 고용현황, 근로소득원천징수부 등",,,,,,"E-6-1, E-6-3: 근로계약기간 + 1개월(최대 2년) E-6-2: 공연추천기간 또는 근로계약기간(최대 1년. 단, 영등위 추천서 상 연소자 유해성 '유해'인 경우 최대 6개월)",,,E-6 세부약호별 체류기간 연장 허가기간 표,"E-6-1, E-6-3: 근로계약기간 + 1개월(최대 2년) E-6-2: 최대 1년(연소자 유해 시 최대 6개월)",
183,high,score_like_row_outside_score_table,점수표/배점 행인지 확인,E-7,특정활동,stay_status_rule,E-7 특정활동 / 적용대상 및 도입기준,체류자격 부여,대상,,대한민국 내의 공·사기관 등과의 계약에 따라 법무부장관이 특별히 지정하는 활동에 종사하려는 사람,한국표준직업분류 상 대분류 항목과 직능수준 등을 감안한 도입직종 종사,"E-7-1 전문인력: 관리자 및 전문가 (67개 직종) E-7-2 준전문인력: 사무 및 서비스종사자 (10개 직종) E-7-3 일반기능인력: 기능원 및 관련기능종사자 (14개 직종) E-7-4 숙련기능인력(점수제): 3개 직종 ('17.8.1 신설) E-7-91 FTA 독립전문가 E-7-S 네거티브 방식 전문인력: 고소득자, 첨단산업분야 종사자 E-7-Y 국내성장인력 E-7-T 최우수인재 특정활동: 최우수인재 첨단산업분야 종사자",,,,"일반요건 (하나 충족): - 도입직종과 연관성 있는 분야 석사 이상 학위 - 도입직종과 연관성 있는 학사학위 + 1년 이상 첨단기술 분야 경력 - 도입직종과 연관성 있는 분야 5년 이상 근무경력 특별요건: 세계 500대 기업 1년 이상 전문직 근무경력자, 세계 우수대학(타임지 200대 / QS 500위) 학사학위 소지자, 국내 전문대학/대학 졸업자, 첨단기술인턴(D-10-3) 1년 이상 근무자 등 학력·경력 면제 부처추천 전문능력 우수인재(전년도 GNI 1.5배 이상 + 추천): 학력·경력 면제 고소득 전문직 우수인재(전년도 GNI 3배 이상): 직종 무관 학력·경력 면제 해외 유망인재(29세 이하 + 세계우수대학/한국학 + TOPIK 6급): 학위·경력 요건 면제 아시아권 QS 1,000위 이내 현지대학 이공계 졸업생(29세 이하 + TOPIK 2급): 경력요건 면제",기업 스스로 채용 → 사증발급 신청 또는 체류자격 변경허가 신청 뿌리산업체 숙련기능공: 비전문취업자 자격변경 + 민관합동 전문가 기량검증,"신청직종과 가장 유사한 직종의 자격요건 충족 시 가장 유사한 직종으로 고용 허용 대분류 1·2 전문직종: 청장 등 재량 허용 대분류 3-8 준전문·숙련기능직종: 법무부장관 승인 필요 초청자: 사증발급인정서 발급제한 대상자, 고용업체 요건 미충족, 세금 체납 시 제외","고용추천서 면제: 대학 및 공공기관 고용, 사기업 대기업 관리자 고용 창업 5년 이내 소규모 외국인투자기업·벤처기업: 매출실적 없어도 허용 (67개 전문인력 직종)",,"1회 부여 체류기간 상한: 3년 (주무부처 추천 우수인재, 지역특화발전특구, 첨단의료복합단지 내 E-7 직종, 경제자유구역 의료연구개발기관 연구원은 5년)",'25.6 현재 91개 직종 (278개 세부분류) 선정,E-7-4 숙련기능인력: 점수제 적용,"E-7 세부약호별 분류기준과 직종 수, 첨단과학기술인력 우대 골드카드 추천기관 표","골드카드: 산업통상자원부(KOTRA), 2000년, IT/기술경영/나노/디지털전자/바이오/수송기계/신소재/환경에너지 등 8개 분야",
184,high,document_like_row_outside_required_documents; score_like_row_outside_score_table,공통/필수/기타서류 버킷 재분류; 점수표/배점 행인지 확인,E-7,특정활동,stay_status_rule,E-7 특정활동 / 체류자격외 활동,체류자격외 활동허가,요건,,"외국인투자기업 CEO 등 우수전문인력, A-1·A-2 소지자, 주한외국공관원 가족, 고액투자외국인·전문인력 배우자, 방문동거(F-1)/동반(F-3) 자격 소지자, 제주영어교육도시 종사자","투자자(D-7, D-8, D-9) 중 국내기업 상근이사 이상의 직 근무자 전문인력(E-1, E-3 ~ E-5, E-7) 자격소지자 주한외국공관원 가족: 상호주의에 따라 27개 국가 (외교부장관 추천)","A-1, A-2 자격 소지자: 외국어회화강사(E-2), 외국인학교교사(E-7), 외국어교열요원(E-7), 문화예술(D-1), 종교(D-6), 교수(E-1), 연구(E-3) 등 활동",,대학 강연(C-4-5): - 신청서(별지 34호 서식) - 여권 및 외국인등록증 - 수수료 - 주무부처 장의 고용추천서 - 사업자등록증 사본 - 고용계약서 - 원 근무처장의 동의서 방문동거(F-1) 중국동포: - 신청서(별지 34호 서식) - 여권 및 외국인등록증 - 수수료 - 주무부처 장의 고용추천서 또는 고용필요성 입증서류 - 고용계약서 - 사업자등록증 - 학위증 또는 자격증,"F-1, F-3 자격 소지자 외국어회화강사(E-2)/외국인학교교사(E-7): - 해당국 교원자격증 원본(없으면 학위증·경력증명서) - 범죄경력증명서, 채용신체검사서 - 학교장 요청서 - 외국인교사 현황","대학 강연: 90일 이내 강의활동 제주영어교육도시 국제학교 보조교사/강사: 국제학교 재학생 부모/교직원 직계가족, 18세 이상 해외 본교 졸업생, 학사 이상 + 2년 경력 또는 TESOL 자격증",,"배우자 자격외활동: 단순노무(D-3, E-9) 등 제외 모든 직종 제주영어교육도시 판매종사자: 영어 모국어 국가 출신 외 TOEIC 800점 이상 또는 TESOL 필수",정규교육기관 교육은 체류기간 범위 내 별도 허가 절차 불요,,배우자 허가기간: 배우자의 체류기간까지 (계속연장 가능),,,,,
185,high,document_like_row_outside_required_documents; score_like_row_outside_score_table,공통/필수/기타서류 버킷 재분류; 점수표/배점 행인지 확인,E-7,특정활동,stay_status_rule,E-7 특정활동 / 근무처 변경·추가,근무처 변경/추가,요건,,특정활동(E-7) 자격으로 외국인등록 하고 체류 중인 자,판매사무원 등 14개 직종 제외 E-7 자격 소지자 변경·추가 근무처에서 활동하는데 필요한 자격요건 구비,"사전 허가대상: 기계공학기술자(2351), 제도사(2395), 해외영업원(2742) 중 해외 온라인상품판매원, 디자이너(285), 판매사무원(31215), 주방장 및 조리사(441), 고객상담사무원(3991), 호텔접수사무원(3922), 의료코디네이터(S3922), 양식기술자(6301), 조선용접공(7430), 숙련기능 점수제 종사자(S740, S610, S700), 선박 전기원(76212), 선박 도장공(78369), 항공(부품) 제조원(S8417), 송전전기원(76231), 자동차 부품제조원(S85411), 자동차 판금·도장원(S75104), 도축원(S71032) 사후 신고대상: 상기 직종 제외 특정활동(E-7)",,"사후 신고: - 통합신청서[별지 제34호~제34호의2 서식] - 여권 및 외국인등록증 - 주무부처 장의 고용추천서 또는 고용 필요성 입증서류 - 고용계약서 - 원 근무처장의 동의서 - 사업자등록증 사전 허가: - 휴·폐업사실증명서, 임금체불 관련 공적 입증서류, 매출감소 등 경영악화 입증서류 (해당 중 1종) - 원 고용주의 이적동의서 - 새로 고용계약한 업체의 자격요건 심사 서류 (사증발급인정서 첨부서류 준용)",,'10.11.15부 사후 신고제로 개정(출입국관리법시행령 제26조의2제1항) 주방장 및 조리사: 원 근무처 외 타 근무처 근무시간은 원 근무처의 1/3 초과 불가,신고의무자는 신고사유 발생일로부터 15일 이내에 관할 청장에게 신고 여권에 스티커 부착 위해 방문신고 원칙,본인 귀책사유로 해고/중도 퇴직 + 원고용주 이적동의 미수령자 제외 (근무처변경허가 또는 사증발급인정서 신청 대상),"사유서와 신원보증서는 원칙적으로 제출 생략 원 근무처장 동의서: 계약기간 만료일까지 근무 시 면제, 휴·폐업/임금체불 시 입증서류·사유서로 대체 가능",사후 신고는 수수료 없음,,,,,,
186,high,document_like_row_outside_required_documents; score_like_row_outside_score_table,공통/필수/기타서류 버킷 재분류; 점수표/배점 행인지 확인,E-7,특정활동,stay_status_rule,E-7 특정활동 / 체류자격 변경,체류자격 변경,요건,,"D-1, D-2, D-4, D-5, D-6, D-7, D-8, D-9, D-10, E-1, E-2, E-3, E-4, E-5, E-6(E-6-2 제외) 자격 합법 체류 등록외국인 및 동반 배우자(F-3)",특정활동(E-7) 자격 허용직종별 요건을 갖춘 체류외국인 취업 분야가 E-1·E-2·E-3·E-4·E-5·E-6·E-7 자격에 해당 + 자격요건 구비 해당 기관·단체 대표자와 고용계약 체결,외국인학교 교사 변경: 외국인학교 채용 절차 중인 합법체류자 비전문취업(E-9) 등 4년 이상 합법취업 + 점수제 E-7-4 변경자,,"- 신청서(별지 34호서식) - 여권 및 외국인등록증 - 표준규격사진 1장 - 수수료 - 고용계약서 - 고용업체 설립관련 서류(사업자등록증, 등기부등본 등) - 경력증명서 - 주무부처 장의 고용추천서 또는 고용 필요성 입증서류 - 납세증명서(국세완납증명서), 지방세 납세증명",외국인학교 교사 추가서류: - 해당국 교원자격증(없으면 학위증·경력증명서) - 학교장 추천서 - 원 근무처장의 동의서(해당자) - 신원보증서 - 학교설립관련 서류 - 범죄경력증명서(E-2 자격과 동일) - 채용신체검사서,국민고용 보호: 원칙적으로 국민고용자의 20% 범위 내 E-7 외국인 고용 허용 5명 미만 국민 고용 내수 위주 업체 또는 E-7 비율 20% 초과 업체: 신규·대체 초청·변경·근무처변경 원칙 불허 주무부처 추천 첨단산업: 국민근로자 50% 범위 특수 언어지역 우량 수출업체: 국민근로자 70% 범위 급여총액(연봉) 당해연도 최저임금 미만 시 발급 제한 전문인력: 법무부장관 확정·공고 임금요건 기준 적용 준전문/일반기능/숙련기능: 최저임금 이상 국내 전문학사·학사학위 소지자: 학사 + 1년 경력 직종도 고용추천서 제출 생략 (필수 직종 제외),,"단기체류(B계열, C계열), 기술연수(D-3), 계절근로(E-8), 비전문취업(E-9), 선원취업(E-10), 기타(G-1) 자격은 변경 제한 독일인 변경 시 기술연수(D-3), 비전문취업(E-9), 관광취업(H-1) 제외","아래 직종 자율검증대상자(외국인학교 교사) 범죄경력증명서 면제: 해당국 교원자격증 소지자, 채용박람회 채용 교사, 최근 5년 이내 국내 E-2/E-7로 3년 이상 근무자 정부초청 장학생 일/학습연계유학(D-2-7) 졸업자: 모든 직종에 대해 국민고용비율 적용 면제",,외국인학교 교사 변경 시: 최초 1년 범위 내 독일인 변경: 체류자격별 1회 부여 체류기간의 상한,,E-7-4 숙련기능인력 점수제 변경: 별도 매뉴얼 참조 ('23.9.25 개선 시행),,,
189,high,score_like_row_outside_score_table,점수표/배점 행인지 확인,E-7,특정활동,stay_status_rule,E-7 특정활동 / 허용직종 현황 (94개),사증발급,대상,,특정활동(E-7) 자격 허용직종 종사자,,"E-7-1 전문인력 (67개 직종): 관리자 15개 + 전문가 및 관련종사자 52개 E-7-2 준전문인력 (10개 직종): 사무종사자 5개 + 서비스 종사자 5개 E-7-3 일반기능인력 (14개 직종) E-7-4 숙련기능인력(점수제) (3개 직종) E-7-S 네거티브 방식 전문인력 (E-7-S1 고소득자, E-7-S2 첨단산업분야) E-7-Y 국내성장인력 (직종코드 9999) E-7-T 최우수인재 특정활동 (첨단산업분야)",,,,,,,,,,,,"E-7 허용직종 94개를 6개 세부약호(E-7-1, E-7-2, E-7-3, E-7-4, E-7-S, E-7-Y, E-7-T)로 분류한 표","전문인력(E-7-1): 관리자 15개(경제이익단체 고위임원 S110, 기업 고위임원 1120, 경영지원 관리자 1212, 교육 관리자 1312, 보험·금융관리자 1320, 문화예술 관리자 1340, 정보통신 관리자 1350, 기타 전문서비스 관리자 1390, 건설광업 관리자 1411, 제품생산 관리자 1413, 농림어업 관리자 14901, 영업판매 관리자 1511, 운송 관리자 1512, 숙박여행오락스포츠 관리자 1521, 음식서비스 관리자 1522), 전문가 52개(생명과학·자연과학·사회과학·IT 개발자·건축·공학·간호사·교육·법률·경영진단·금융보험·디자이너·번역가 등) 준전문인력(E-7-2): 사무종사자 5개(면세점/제주영어교육도시 판매사무원 31215, 항공운송 사무원 31264, 호텔 접수 사무원 3922, 의료 코디네이터 S3922, 고객상담 사무원 3991), 서비스 5개(운송 서비스 431, 관광 통역 안내원 43213, 카지노 딜러 43291, 주방장 및 조리사 441, 요양보호사 42111) 일반기능인력(E-7-3) 14개: 동물사육사 61395, 양식기술자 6301, 할랄 도축원 7103, 악기제조 및 조율사 7303, 조선 용접공 7430, 선박 전기원 76212, 선박 도장공 78369, 항공기 정비원 7521, 항공기(부품) 제조원 S8417, 송전 전기원 76231, 자동차 부품제조원 S85411, 자동차 판금·도장원 S75104, 도축원 S71032, 건설기계부품제조원 S85513 숙련기능인력(E-7-4) 3개: 뿌리산업체 숙련기능공 S740, 농림축산어업 숙련기능인 S610, 일반 제조업체 및 건설업체 숙련기능공 S700",
190,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-7,특정활동,stay_status_rule,E-7-1 전문인력 / 직종별 세부관리기준,사증발급,요건,E-7-1,관리자 및 전문가·관련 종사자 직종 (67개) 종사 예정자,"관리자(1212~1522) 공통 심사기준: - 해당 기업의 운영부서 현황, 독립성, 일반직원 수, 외국인 관리자 임금수준 고려 - 원칙적으로 본사 운영부서 관리자에 한함 - 대기업 관리자: 고용추천서 면제 ('07.12.5. 규제개혁 장관회의) - 중소기업 관리자: 직종별 고용추천기관 적시한 경우 추천서 징구","경제이익단체 고위임원(S110), 기업 고위임원(1120): 학력·경력 요건 미정 (기업 자율성 존중) 교육 관리자(1312): 학사 이상 + 관련 교사 자격·경력 보험·금융관리자(1320), 정보통신관리자(1350) 등: 일반 요건 적용",,,,일반요건 (하나 충족): - 도입직종 연관분야 석사 이상 학위 - 학사학위 + 1년 이상 첨단기술 분야 경력 - 5년 이상 해당분야 근무경력 임금요건: 법무부장관 확정·공고 임금요건 기준 적용,,중소기업기본법 시행령 제3조 별표 1의 대기업/중소기업 구별기준 적용,대기업 종사 관리자 고용추천서 면제,,,,,,,
191,high,document_like_row_outside_required_documents,공통/필수/기타서류 버킷 재분류,E-7,특정활동,stay_status_rule,E-7-2 준전문인력 / 직종별 세부관리기준,사증발급,요건,E-7-2,사무종사자 및 서비스 종사자 (10개 직종),"운송 서비스(431): 석사 이상, 학사 + 1년 경력, 또는 3년 이상 경력 관광통역 안내원(43213): 석사 이상, 외국대학 한국학 학사 + 1년 경력, 국내대학 관광·역사계열 졸업자, 전문대학 졸업 + 국내 관광통역안내사 자격증 요양보호사(42111): 국내 대학 전문학사 이상 + 요양보호사 자격증","면세점/제주영어교육도시 판매사무원, 항공운송 사무원, 호텔 접수 사무원, 의료 코디네이터, 고객상담 사무원, 운송 서비스(국제여객선·국제항공 객실승무원), 관광통역 안내원, 카지노 딜러, 주방장 및 조리사, 요양보호사",,"관광통역 안내원 추가: - 관광사업자등록증 사본(일반여행업) - 외국인관광객 유치실적 증빙자료 주방장·조리사 추가: - 요리사 자격요건 입증서류(요리경연대회 입상서류 또는 자격증+경력증명서 3-5년 또는 향토음식 10년 경력증명서) - 고용보험 가입자 목록, 사업장용 고용보험피보험자격 취득 내역 - 사업장 면적 입증서류, 부가가치세과세표준증명",관광편의시설업 지정 서류(해당자) 외국인관광객 면세판매장/보세판매장 서류(해당업체),"관광통역 안내원 고용업체: 관광사업등록 + 최근 2년 평균 연간 외국인 관광객 유치실적 2,000명 이상 요양보호사 업체당 고용인원: 국민고용인원 대비 20% 한도 요양보호사 소득요건: 당해연도 최저임금 이상",,운송 서비스 도입 불가: 선박 웨이터,,,체류기간 상한 2년의 단수사증 (체류기간 1년 이하 단수사증은 공관장 재량 발급),,,,,
192,high,document_like_row_outside_required_documents; score_like_row_outside_score_table,공통/필수/기타서류 버킷 재분류; 점수표/배점 행인지 확인,E-7,특정활동,stay_status_rule,E-7-3 일반기능인력 / 직종별 세부관리기준,사증발급,요건,E-7-3,기능원 및 관련기능 종사자 (14개 직종),자동차 판금·도장원(S75104): 전문학사 이상 + 3년 이상 해당분야 경력 또는 5년 이상 해당분야 경력 + 국토부 지정기관 기량검증 통과 도축원(S71032): 도축 분야 교육 수료 또는 자격증 취득 + 3년 이상 경력 건설기계부품제조원(S85513): 별도 기준,"동물사육사, 양식기술자, 할랄 도축원, 악기제조 및 조율사, 조선 용접공, 선박 전기원, 선박 도장공, 항공기 정비원, 항공기 부품 제조원, 송전 전기원, 자동차 부품제조원, 자동차 판금·도장원, 도축원, 건설기계부품제조원",,공통 추가: - 학위증 - 경력 증명서 - 소관부처 장관의 고용추천서 (필수) - 기량검증 확인서 (해당자),,"임금요건: 자동차 판금·도장원 → 전년도 1인당 GNI 70% 이상 업체당 고용인원: 국민고용인원 대비 20% 한도 (자동차 판금·도장원, 도축원 등) 도축원 업체당 최대 2명 해외 발급 서류는 아포스티유 확인 또는 대한민국 공관 영사확인 필수",사증발급인정서 발급 및 체류자격 변경 접수·심사 → 본부(체류관리과)에 쿼터 배정 요청 → 쿼터 번호 발부 → 허가 사회통합프로그램: 국내 입국 후 1년 이내 사회통합프로그램 사전평가 21점 이상(2단계 배정) 또는 1단계 이상 이수 또는 TOPIK 2급 이상,"근무처 변경: 휴·폐업, 경영악화, 고용계약 만료 등 외국인 근로자 귀책사유 없는 경우에 한정 제도남용 방지 위해 법무부·소관부처 합동 점검",유학생 특례: 국내대학 해당분야 전문학사 이상 학위 + 취업 확정 + 소관부처 고용추천 시 경력요건 면제,,체류기간 상한 2년의 단수사증 사회통합프로그램 미충족 시: 1회 6개월씩 최대 1년 범위 내에서 체류기간 연장,자동차 판금·도장원 시범운영기간('25.10~'27.9) 중 각 1년 단위별 총 330명 범위 내 도축원 시범운영기간('26.1~'27.12) 중 각 1년 단위별 총 150명 범위 내,,,,
