label,orig_row_index,column,current,suggested,rationale,verify_method,verdict
stay,58,다음단계,"F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주","F-5-24 (기술창업 D-8-4 자격으로 3억원 이상 투자금 유치 및 국민 2인 이상 고용) 또는 F-5-5 (50만 달러 이상 투자자, 국민 5인 이상 고용) 또는 F-5-1 일반영주","PDF 시행령 별표1의3 15호 (p.429-430, file p215): 'F-5-24: 기술창업(D-8-4) 자격으로 3억원 이상 투자금을 유치하고 국민 2인 이상 고용한 사람(기술창업 투자자)'. D-8-4 전용 영주 약호. p.443 (file p222)에서 'F-5-24: 투자금 유치 관련 서류, 법인등기사항 전부증명서, 사업자등록증 사본, 고용 ",,NEEDS_REVIEW
stay,60,출처,p. 41,p. 121~122,D-8-1 법인 투자 체류기간 연장 제출서류는 PDF 인쇄본 p.121-122 (file p061-p062)에 위치. p.41은 다른 비자(아마도 사증발급 일반)에 해당하는 오타로 추정.,,MINOR_FIX
stay,59,출처,p. 119,p. 117 또는 p. 117~118 (자격변경 불가 대상은 인쇄본 p.117 우측),PDF file p059 (인쇄본 p.117-118): '※ 허가의 예외(자격변경 불가 대상) : 출국 후 사증을 받아 입국하도록 안내' 표가 p.117 우측에 위치. p.119는 한 페이지 차이로 경계선 인정 가능.,,MINOR_FIX
stay,78,제한,,,"D-10-T 최우수인재 결격사유 항목 중 ⑨와 ⑩이 누락됨. PDF p073(printed 146)에는 ①~⑩ 10개 항목이 있으나 CSV는 ①~⑧ 8개만 기재. 누락된 항목: ⑨ '국내법을 위반하여 출입국관리법 제46조 제1항의 강제퇴거 대상에 해당하나, 인도적인 사유 등이 고려되어 체류 허가를 받은 사람으로, 해당 체류허가 결정일부터 5년이 경과되지 아니한 사람', ⑩ '대한민국의 안전보장과 질서유지·공공복리 기타 대한민국의 이익을 해할 우려가 있다고 출입국·외국인 관서의 장이 인정하는 사람'",,NEEDS_REVIEW
stay,79,체류상한,,,"유망인재 정의가 축약됨. PDF p079에 따르면 '➊29세 이하 해외대학 졸업자로서, ➋세계대학 순위(THE, QS) 200위 이내 학사 학위 이상 소지자 또는 한국학 관련 전공자로 한국어능력시험(TOPIK) 6급 소지자' 인데 CSV는 단지 '국내 성장 기반 외국인 청소년, 유망인재'로만 표기. 자격요건/체류상한 매칭은 정확하나 세부 정의가 누락",,OK
stay,80,출처,,p.158,"출처 'p. 32'는 잘못됨. printed p.32는 D-1(문화예술) 자격의 일반 요약표이며 D-10 외국인등록 제출서류는 PDF p079 (printed 158)에 있음. 단, 제출서류 내용 자체는 PDF p158의 '외국인등록 1.' 섹션과 일치 (신청서, 여권 및 사본 1부, 표준규격사진 1매, 체류지 입증서류, 수수료, 인턴예정기업 사업자등록증/재직증명서[D-10-3 한함])",,NEEDS_REVIEW
stay,84,출처,,p.163-164,"출처 'p. 165'는 약간 오프셋. E-1 활동범위/해당자는 printed 163-164 시작 (p082), 1회부여 체류기간 상한 5년은 p082 우측 상단. p. 163~166로 표기하는 것이 더 정확. 내용 자체는 일치",,OK
stay,85,출처,,p.163-166,출처 'p. 104'는 잘못됨. printed p.104는 D-6(종교) 자격외 활동의 회화지도(E-2) 면제범위 섹션이며 E-1 자격외 활동은 PDF p082~p083 (printed 163-166)에 있음. 회화지도(E-2) 활동 자율 허용기준 문구는 D-6 부분에서 가져왔을 가능성,,NEEDS_REVIEW
stay,88,출처,,p.170-171,"출처 'p. 41'은 잘못됨. printed p.41은 D-2(유학) 체류자격 변경 관련 한국어능력 기준 섹션이며 E-1 체류기간 연장 제출서류는 PDF p085-086 (printed 170-171)에 있음. 제출서류 내용 (신청서, 여권, 사진, 수수료, 고용계약서, 체류지 입증, 교원활용계획서 등)은 p085 우하단 + p086 상단과 일치",,NEEDS_REVIEW
stay,89,출처,,p.172,"출처 'p. 32'는 잘못됨. printed p.32는 D-1(문화예술) 자격의 일반 요약표이며 E-1 외국인등록 신청서류는 PDF p086 (printed 172)에 있음. 내용 (신청서, 여권원본, 사진, 수수료, 부가가치세법 사업자등록증, 체류지 입증서류)은 PDF p086의 외국인등록 1. 섹션과 일치",,NEEDS_REVIEW
stay,95,출처,,p.182,"출처 'p. 32'는 잘못됨. printed p.32는 D-1(문화예술) 일반 요약표이며 E-2 외국인등록 신청서류는 PDF p091 (printed 182)에 있음. 내용 (신청서, 여권원본, 사진, 수수료, 부가가치세법 사업자등록증, 채용신체검사서 밀봉 제출, 체류지 입증서류, 시·도교육감 원어민 영어보조교사 채용신체검사서 면제)은 p091과 일치",,NEEDS_REVIEW
stay,98,출처,,p.184-186,"출처 'p. 30'은 잘못됨. printed p.30 부근은 일반 사후관리 절차 섹션이며 E-3 체류자격외 활동은 PDF p092-p093 (printed 184-186)에 있음. 내용 (정규교육기관 면제, 대학 강연활동 C-4-5, E-1/E-3 상호 자격외 활동, 단기취업 C-4-5/E-7 활동, A-1/A-2 자격외 활동, A-3 자격자의 E-3, 배우자 취업, 동일 기관 내 강의)은 p092-p093과 일치",,NEEDS_REVIEW
stay,99,출처,,p.187-188,"출처 'p. 168'은 잘못됨. printed p.168은 E-1 근무처 변경·추가 사후신고제이며 E-3 근무처 변경은 PDF p094 (printed 187-188)에 있음. 내용 (자격요건, 신고절차 15일, 잔여 체류기간 +1개월 룰, 해고·중도퇴직자 D-10 변경 허용, 제출서류, 원 근무처 동의서 면제 조건)은 p094와 일치",,NEEDS_REVIEW
stay,100,출처,,p.191-192,"출처 'p. 95'는 잘못됨. printed p.95는 다른 자격 관련. E-3 재입국허가는 PDF p096 (printed 191-192)에 있음. 내용 (1년 이내 재입국 면제, 체류기간 1년 미만시 범위 내 면제, 입국규제자 방문허가, 복수재입국허가 1~2년, 사우디·이란·리비아 복수재입국제한)은 p096과 일치",,NEEDS_REVIEW
stay,101,출처,,p.192,"출처 'p. 32'는 잘못됨. printed p.32는 D-1(문화예술) 일반 요약표이며 E-3 외국인등록은 PDF p096 (printed 192)에 있음. 내용 (신청서, 여권원본, 사진, 수수료, 부가가치세법 사업자등록증, 체류지 입증서류, 외국인등록사항 변경신고 - 신고사항/기한 15일/제출서류)은 p096과 일치",,NEEDS_REVIEW
stay,102,출처,,p.191-192,출처 'p. 190'은 약간 부정확. 방문연구원 특례 섹션은 PDF p096 (printed 191-192)에 있음. p190은 E-3 일반 체류자격 변경의 마지막 부분. 'p. 191~192'가 정확함. 내용 자체는 일치,,OK
stay,103,출처,,p.193-194,"출처 'p. 190~192'는 잘못됨. printed p.190~192는 E-3 영역(방문연구원 특례 포함). E-4 활동범위/해당자는 PDF p097 (printed 193-194), E-4 자격 변경은 p098 (printed 195-196)에 있음. 'p. 193~196'이 정확함. 내용 (활동범위 공·사기관 자연과학 전문지식/산업상 특수분야 기술 제공, 해당자 외국인투자촉진법/고도기술 제공, D-2·D-10 → E-4 변경요건, 자연과학 전문지식 기술 제공자 소지자격 무관 변경허가)은 p097-p098과 일치",,NEEDS_REVIEW
